query,expected_source_family,top_1,top_2,top_3,gold_answer,answer_preview
What pricing and competition questions should a new store ask?,business_guide,"{""source"": ""business_guide"", ""id"": ""bg-businessnewsdaily-open-retail-store"", ""score"": 1.0332, ""snippet"": ""Source: Business News Daily. Guide: How to Open a Retail Store. Category: retail_store_guide. Business stage: launch. Description: The first step to opening a retail store is developing your idea and a business plan. When determining what t""}","{""source"": ""business_guide"", ""id"": ""bg-businessnewsdaily-open-retail-store"", ""score"": 0.3578, ""snippet"": ""Source: Business News Daily. Guide: How to Open a Retail Store. Category: retail_store_guide. Business stage: launch. Description: You might consider a small business loan to get things up and running. It's important to research your option""}","{""source"": ""business_guide"", ""id"": ""bg-businessnewsdaily-open-retail-store"", ""score"": 0.357, ""snippet"": ""Source: Business News Daily. Guide: How to Open a Retail Store. Category: retail_store_guide. Business stage: launch. Description: \""Know your competition,\"" said Juli Lassow, founder and principal of JHL Solutions, a retail business manageme""}","A new store should compare competitors, customer willingness to pay, operating costs, and desired margins before setting prices.","A new retail store should consider asking several key questions regarding pricing and competition:  For pricing: - How will your products or services be priced compared to competitors? - Will you offer discounts, loyalty programs, or bundle deals?  - What are the costs associated with each product that influences how much I can charge?  Regarding competition: - Who are the main competitors in my industry and local area? - What unique value do I bring to meet customers' needs beyond pricing? - Ar"
What operational risks should a retail founder watch in supply chain?,business_guide,"{""source"": ""business_guide"", ""id"": ""bg-netsuite-retail-supply-chain"", ""score"": 0.9507, ""snippet"": ""Source: NetSuite. Guide: Retail Supply Chain Management Guide. Category: supply_chain_guide. Business stage: operations. Description: Retail supply chain management covers the operational flow from forecasting demand and sourcing materials ""}","{""source"": ""business_guide"", ""id"": ""bg-businessnewsdaily-open-retail-store"", ""score"": 0.9467, ""snippet"": ""Source: Business News Daily. Guide: How to Open a Retail Store. Category: retail_store_guide. Business stage: launch. Description: When it comes to selecting a legal structure , you follow the same process as most businesses. For retailers,""}","{""source"": ""business_guide"", ""id"": ""bg-businessnewsdaily-open-retail-store"", ""score"": 0.326, ""snippet"": ""Source: Business News Daily. Guide: How to Open a Retail Store. Category: retail_store_guide. Business stage: launch. Description: Marco Castelán, senior principal of The Navio Group, a retail business consulting firm, said, \""I think the bi""}","Retail founders should watch stockouts, shipping delays, labor shortages, rising material costs, and demand volatility.","Retail founders should watch several operational risks in the supply chain, including stockouts and overstock situations due to demand forecasting errors. Managing volatility in customer behavior is crucial as well, alongside issues like labor shortages which can disrupt operations. Misaligned supplier relationships that lead to inconsistent deliveries or poor quality materials are also significant concerns. Better inventory visibility and agile design of the supply chain system are essential to"
Show me YC examples of companies in payments or credit.,yc,"{""source"": ""yc"", ""id"": ""theorem"", ""score"": 0.9251, ""snippet"": ""Company: Theorem. Tagline: The mission of Theorem is to make credit safe and available. We use…. Description: Theorem conducts independent underwriting of consumer loans originated by banks, credit cards companies and other lenders. We util""}","{""source"": ""yc"", ""id"": ""karbon-card"", ""score"": 0.9147, ""snippet"": ""Company: Karbon Card. Tagline: Corporate Card solution for Indian businesses. Description: We at Karbon Cards provide corporate credit cards, vendor payment solutions and forex outward remittance products to Indian companies. We partners wi""}","{""source"": ""yc"", ""id"": ""prospa"", ""score"": 0.9086, ""snippet"": ""Company: Prospa. Tagline: Banking for businesses. Description: Banking for businesses. Keywords: banking. Topic: payments / credit / payment.""}","The answer should retrieve YC examples from the payments, credit, or financial technology area and compare their patterns.","Here are a few Y Combinator-backed companies focused on the payments and credit sectors:  - **Theorem**: Uses independent underwriting to manage institutional capital for consumer loans, ensuring safety while making credit available.    - **Karbon Card**: Provides corporate cards and payment solutions to Indian businesses with a liberalized startup-friendly underwriting process.  - **BharatX**: Enables Buy Now Pay Later (BNPL) functionality across Flipkart's ecosystem. Originally focused on prov"
Which YC companies are building healthcare or patient-care products?,yc,"{""source"": ""yc"", ""id"": ""vitable-health"", ""score"": 0.9382, ""snippet"": ""Company: Vitable Health. Tagline: Affordable care via ICHRA and primary care with visits, meds, labs…. Description: If you're a YC company: Book Here! https://calendly.com/danielle-wimberly-vitablehealth/30min  We are a team of engineers, c""}","{""source"": ""yc"", ""id"": ""apero-health"", ""score"": 0.9166, ""snippet"": ""Company: Apero Health: Modern medical billing. Tagline: We help healthcare companies run their practices. Eligibility, BI, claims, patient payments? Shoot us an email at founders@aperohealth.com Apero is a Y-Combinator-backed startup based ""}","{""source"": ""yc"", ""id"": ""heydoctor"", ""score"": 0.9149, ""snippet"": ""Company: HeyDoctor. Tagline: HeyDoctor provides online primary care (like refilling birth control,…. Description: Waiting rooms suck. Insurance and the paperwork are worse. We are a team of doctors, developers, lawyers, designers, and more ""}","The answer should retrieve YC healthcare examples and summarize product themes around care, medical workflows, or patients.","Vitable Health and HeyDoctor are YC companies that specialize in providing healthcare or patient-care solutions. Vitable Health focuses on making it simple for startups to offer integrated healthcare benefits, including direct primary care, virtual visits, medications, and lab tests. HeyDoctor offers online primary care services like refilling birth control, available directly from their app with transparent pricing and no insurance required."
Find YC examples in education or student learning.,yc,"{""source"": ""yc"", ""id"": ""tegore"", ""score"": 0.8845, ""snippet"": ""Company: Tegore. Tagline: Your new AI-powered math tutor.. Description: Tegore follows K-12 school curriculum to design courses like Algebra I & Algebra II. In addition to working with high schools in the Bay Area to design the best in-clas""}","{""source"": ""yc"", ""id"": ""ubits"", ""score"": 0.8805, ""snippet"": ""Company: UBITS. Tagline: Learning Hub for companies in Latam. Description: We help Spanish-speaking companies create, execute and measure their online learning strategy. We offer more than 5.000 courses across three categories: Soft skills,""}","{""source"": ""yc"", ""id"": ""vinco"", ""score"": 0.8732, ""snippet"": ""Company: Vinco. Tagline: Retaining employees in LatAm via education. Description: Vinco helps companies in Latin America pay for blue-collar employees’ online education. We do this by connecting employees to accessible programs (like High S""}","The answer should retrieve YC examples related to education, students, learning, or tutoring.","Several Y Combinator (YC) companies focus on enhancing education and student learning experiences:  - **Tegore** is dedicated to providing an AI-powered math tutoring solution. It follows the K-12 curriculum, offering voice-guided lessons with interactive visuals and checks understanding through dialectic teaching.    - **UBITS** offers a comprehensive online learning platform for companies in Latin America. Their service includes over 5000 courses categorized into soft skills, business, and tec"
What YC patterns appear in developer tools or APIs?,yc,"{""source"": ""yc"", ""id"": ""yhat"", ""score"": 0.8891, ""snippet"": ""Company: Yhat. Tagline: End-to-end data science lifecycle management platform.. Description: Yhat (YC W15, pronounced y-hat) was an end-to-end data science platform. Acquired by Alteryx (NYSE:AYX). Keywords: science, w15, lifecycle, acquire""}","{""source"": ""yc"", ""id"": ""lingodotdev"", ""score"": 0.8727, ""snippet"": ""Company: Lingo.dev. Tagline: Open-source, AI-powered i18n toolkit for instant localization.. Description: Lingo.dev helps dev teams use LLMs for app localization and content translation. Lingo.dev Compiler helps React developers localize ap""}","{""source"": ""yc"", ""id"": ""appjet"", ""score"": 0.8677, ""snippet"": ""Company: Appjet. Tagline: Y Combinator funded AppJet is an online programming tool for building simple web apps. Founded by former MIT students, AppJet intends to simplify the process of writing web applications. The applications are progra""}",The answer should retrieve YC developer-tool or API examples and identify common product patterns.,"Several Y Combinator (YC) companies have developed unique and innovative developer tools that offer alternatives to traditional software development methods. For instance, **Yhat** provides an end-to-end data science platform managed by Alteryx, while **Lingo.dev** offers a toolkit for app localization using AI-powered i18n. These solutions demonstrate YC’s focus on addressing specific pain points in the tech industry with innovative technology.  In terms of alternative APIs and developer tools,"
Which YC startups focus on marketplaces or commerce?,yc,"{""source"": ""yc"", ""id"": ""moonshot-brands"", ""score"": 0.9309, ""snippet"": ""Company: Moonshot Brands. Tagline: Buy and grow profitable e-commerce companies selling on Amazon and DTC. Description: Moonshot Brands is building the world’s largest - next-generation CPG (Consumer Product Goods) e-commerce company. We lo""}","{""source"": ""yc"", ""id"": ""sfox"", ""score"": 0.9196, ""snippet"": ""Company: SFOX. Tagline: Crypto-currency trading platform.. Description: SFOX, a YC-backed company, makes it easy for enterprises to trade bitcoin. We started with an advanced trading platform that uses algorithms to provide a competitive ad""}","{""source"": ""yc"", ""id"": ""boostable"", ""score"": 0.9164, ""snippet"": ""Company: Boostable. Tagline: Advertising platform tools for marketplace sellers.. Description: Boostable makes advertising easy for sellers and brands on marketplaces. We grow marketplaces by helping their sellers advertise their listings a""}",The answer should retrieve YC marketplace or commerce examples and compare their business patterns.,"Moonshot Brands focuses on building the world's largest next-generation CPG e-commerce company by acquiring profitable e-commerce companies from founders. Hingeto is a B2B marketplace that connects fashion inventory to online stores, and Glio operates as an Amazon Marketplace for Latin America, providing the best e-commerce experience in the region. These three startups directly focus on marketplaces or commerce.  Boostable helps sellers and brands advertise their listings within marketplaces, w"
"Give YC examples for sales, CRM, or marketing automation.",yc,"{""source"": ""yc"", ""id"": ""paloma"", ""score"": 0.9605, ""snippet"": ""Company: Paloma. Tagline: AI-native CRM for putting post-sales operations on autopilot. Description: We unify your contracts, service consumption, and customer relationship context so that your revenue, success and sales teams can operate f""}","{""source"": ""yc"", ""id"": ""palettehq"", ""score"": 0.9492, ""snippet"": ""Company: PaletteHQ. Tagline: Manage sales commissions and sales performance. Description: PaletteHQ makes it easy for B2B companies to calculate sales commissions and boost sales performance.  We built a SaaS platform that non tech people c""}","{""source"": ""yc"", ""id"": ""marketfox"", ""score"": 0.9358, ""snippet"": ""Company: Marketfox. Tagline: Marketing automation platform optimized for mobile and web.. Description: Marketfox is a Marketing Automation software that simplifies Marketing with AI. Launched in 2017, Marketfox is a YC backed company. Its p""}","The answer should retrieve YC examples from sales, CRM, marketing, or lead generation.","Y Combinator (YC) companies in the marketing/leads/crm space include Paloma, PaletteHQ, Marketfox, Resquared, and Paragon Ai. These startups offer various solutions focusing on different aspects of the marketing automation spectrum platform:  - **Paloma**: Provides an AI-native CRM solution that helps unify post-sales operations for sales teams. - **PaletteHQ**: Specializes in making it easy to calculate sales commissions using a SaaS platform, eliminating manual spreadsheets and BI tools. - **M"
What is the overall social media sentiment in the dataset?,sentiment,"{""source"": ""yc"", ""id"": ""datarank"", ""score"": 0.7346, ""snippet"": ""Company: Datarank. Tagline: Making sense of social data. (Acquired by SimplyMeasured.). Description: DataRank is a leading social analytics company. We monitor online conversation so that our customers can gather valuable comments and insig""}","{""source"": ""yc"", ""id"": ""freeport-markets"", ""score"": 0.7166, ""snippet"": ""Company: Freeport Markets: Tradable Twitter Feed. Tagline: Freeport turns the sources you already trust (starting with Twitter) into a tradable feed. Our AI analysts track breaking news across social and financial media, distill what matter""}","{""source"": ""yc"", ""id"": ""housewarming"", ""score"": 0.7039, ""snippet"": ""Company: Housewarming. Tagline: Share casual moments with the people you care about. Description: Housewarming is social media and AI designed to bring you closer to your friends, not replace them or keep you isolated in an algorithm.  We'v""}",The answer should summarize the sentiment distribution in the social media dataset and mention that neutral posts dominate.,"The provided context focuses on various startups within the Y Combinator's ecosystem that operate in the media, content, and social media space. It does not provide a specific dataset to analyze the overall social media sentiment across different companies or platforms. The information given covers products like Datarank (a social analytics tool), Freeport Markets' AI-driven trading feed from Twitter data, Housewarming's social media platform for sharing moments with friends, eBrandvalue’s real-"
What are people saying on Twitter and Instagram in the sentiment dataset?,sentiment,"{""source"": ""yc"", ""id"": ""pribbit"", ""score"": 0.7386, ""snippet"": ""Company: Pribbit. Tagline: Like Twitter but you post others' status.. Description: Like Twitter but you post others' status.. Keywords: status, twitter, post. Topic: media / content / social media.""}","{""source"": ""yc"", ""id"": ""datarank"", ""score"": 0.7329, ""snippet"": ""Company: Datarank. Tagline: Making sense of social data. (Acquired by SimplyMeasured.). Description: DataRank is a leading social analytics company. We monitor online conversation so that our customers can gather valuable comments and insig""}","{""source"": ""yc"", ""id"": ""disqus"", ""score"": 0.7299, ""snippet"": ""Company: Disqus. Tagline: Add comments to your website.. Description: We love the internet, and the colorful characters and interesting conversations that make up its diverse communities. Disqus exists to make better communities and an even""}",The answer should use the social media sentiment assets and compare platform-level signals for Twitter and Instagram.,"The context provided does not contain specific information about what people are saying or the sentiment analysis performed on Twitter and Instagram datasets. It outlines various Y Combinator companies that operate within social media, email, content sharing, or have connections to these platforms but lacks detailed data on real-world social media sentiment analyses."
Are online reviews or social media comments mostly positive or negative?,sentiment,"{""source"": ""yc"", ""id"": ""socialmoth"", ""score"": 0.6997, ""snippet"": ""Company: Socialmoth. Tagline: Socialmoth is a community to post your thoughts anonymously. You can view postings (mostly gossip and secrets) from the whole community as well as get updates for when someone in your group of friends makes a p""}","{""source"": ""yc"", ""id"": ""simmer"", ""score"": 0.6977, ""snippet"": ""Company: Simmer. Tagline: We do reviews for dishes. Our app helps users find the very best…. Description: Today’s delivery apps are bad experiences. First, you have to choose a delivery platform. Then, you scroll through dozens of restauran""}","{""source"": ""yc"", ""id"": ""disqus"", ""score"": 0.6867, ""snippet"": ""Company: Disqus. Tagline: Add comments to your website.. Description: We love the internet, and the colorful characters and interesting conversations that make up its diverse communities. Disqus exists to make better communities and an even""}","The answer should use the sentiment lens and explain the positive, neutral, and negative balance in the dataset.","Socialmoth's primary function involves users sharing their thoughts anonymously, often focusing on gossip and secrets. This indicates that the content is likely to be more private and personal rather than generally shared in a positive or negative context about public spaces like workplaces. For Simmer, which focuses on delivering verified best-reviewed dishes from restaurants, it suggests there might be an inherent positivity as reviews typically highlight recommended dining experiences. Howeve"
Which hashtags are associated with positive social media sentiment?,sentiment,"{""source"": ""yc"", ""id"": ""credictive"", ""score"": 0.7631, ""snippet"": ""Company: Credictive. Tagline: Attribution metatags for online content.. Description: Attribution metatags for online content.. Keywords: attribution, content. Topic: media / content / social media.""}","{""source"": ""yc"", ""id"": ""shoutfit"", ""score"": 0.7519, ""snippet"": ""Company: Shoutfit. Tagline: We tried to build a social network around clothing. Also briefly built a search engine for clothing.. Description: We tried to build a social network around clothing. Also briefly built a search engine for clothi""}","{""source"": ""yc"", ""id"": ""fanchatter"", ""score"": 0.7399, ""snippet"": ""Company: Fanchatter. Tagline: FanChatter aggregates, amplifies and empowers fan content on every…. Description: FanChatter fuels your fans so they can promote you better than any ad ever could.  Our customers are big guys (NBC Universal, Cl""}",The answer should use the sentiment keyword profiles and summarize top positive hashtags or keywords.,"Based on the information provided from Y Combinator companies focused on media and social media, there are no direct hashtags mentioned that are specifically associated with positive social media sentiment. The companies' focus is more on content aggregation, attribution tracking, social networks for clothing, promoting fan content, monitoring bad actors, and fraud detection rather than measuring or amplifying positive sentiments through hashtags."
