query,answer_len,gold_len,compression_ratio
"Find YC companies building social media, music, or creator communities.",70,7,0.1
Show me companies reducing industrial costs with automation or physical systems.,67,15,0.22388059701492538
Which YC startups show patterns in AI model training and data labeling?,70,13,0.18571428571428572
"Find YC examples of B2B outreach, leads, and outbound sales tools.",73,12,0.1643835616438356
What are Twitter users complaining about in the sentiment dataset?,70,10,0.14285714285714285
Do people seem happy with lifestyle content on Instagram?,77,12,0.15584415584415584
How do Facebook reactions compare for neutral versus positive posts?,62,11,0.1774193548387097
What online reviews mention frustration with checkout or payment?,75,11,0.14666666666666667
Are customer ratings mostly neutral in the social media dataset?,71,12,0.16901408450704225
How are people responding to education technology products?,66,9,0.13636363636363635
Which user feedback terms point to negative app experiences?,66,12,0.18181818181818182
What market sentiment is visible for small business retail ideas?,69,9,0.13043478260869565
What are Reddit-style comments saying about delivery reliability?,69,10,0.14492753623188406
Are people praising wellness apps or criticizing them?,73,10,0.136986301369863
Are people happy or unhappy with healthcare appointment apps?,74,9,0.12162162162162163
Are creator tools getting good word of mouth?,73,10,0.136986301369863
