rank,keyword,score
125,connect,21.919335111701578
126,manual,21.796956319766917
127,hours,21.78340937848123
128,right,21.752830083942786
129,spend,21.59851289732162
130,pay,21.31078939693479
131,knowledge,21.171478827936657
132,directly,21.113019941893054
133,model,21.085161106398225
134,students,20.91812887705919
135,phone,20.801627355365476
136,autonomous,20.72790936795048
137,buy,20.647206857065292
138,operating,20.579571027351356
139,vision,20.57287948549018
140,driven,20.55603551200837
141,deliver,20.520665348614962
142,games,20.50716857285482
143,offer,20.496297552779275
144,bank,20.47928303637152
145,self,20.439186028032207
146,finance,20.42222266837011
147,b2b,20.38658510628867
148,space,20.31686488510837
149,learn,20.29475848426134
150,creating,20.18294536701542
151,place,20.165052788293913
152,starting,20.144615829624602
153,uses,20.12966150288847
154,language,19.997155853669067
155,estate,19.977354870397072
156,life,19.96941935438929
157,thousands,19.95332896012006
158,demand,19.931164644674926
159,energy,19.867653173769607
160,custom,19.826584570838847
161,website,19.77316698524888
162,years,19.750142984624862
163,hardware,19.720121076290184
164,deploy,19.71126189793377
165,10,19.671370190339573
166,consumer,19.613644662777805
167,clinical,19.588510434168235
168,risk,19.49054168942805
169,store,19.46128838264055
170,largest,19.392253023721416
171,africa,19.2997790321143
172,patient,19.196280567349042
173,acquired,19.094691780151113
174,test,19.08356470588819
175,grow,19.052558648956914
176,growth,18.971514159772365
177,enabling,18.908806466796435
178,fully,18.897902226882284
179,application,18.854899303946972
180,send,18.766202066060252
181,training,18.600169994246542
182,costs,18.311861383859647
183,entire,18.280387212785815
184,set,18.2356866587141
185,chat,18.219902615629028
186,year,18.18747118446714
187,decisions,18.152835258407755
188,restaurants,18.146709733492454
189,engine,18.108392712989016
190,virtual,17.99852097807487
191,calls,17.996549191674546
192,track,17.96345798903379
193,large,17.941175663648295
194,reduce,17.813826372648293
195,save,17.76375707064185
196,ventures,17.715520419016205
197,machine,17.694697754176115
198,stack,17.67686462952227
199,instantly,17.63181774996667
200,account,17.60601005087128
201,banking,17.574733974094592
202,experiences,17.53681498653728
203,low,17.529219424228728
204,100,17.36705184591172
205,millions,17.331090014169746
206,workers,17.287672250110074
207,office,17.27437755772841
208,providing,17.268494083265935
209,providers,17.218716178313677
210,creators,17.176605038907667
211,instead,17.1516470207842
212,easily,17.14443383188949
213,traditional,17.117995880468406
214,personal,17.106401428706622
215,private,17.096173497784125
216,start,17.0813518489939
217,card,17.062627676974838
218,smart,17.049834037795037
219,processes,16.99538645648602
220,automating,16.993478556822232
221,apis,16.975715771773793
222,america,16.90022553662145
223,currently,16.898249275679525
224,browser,16.858260866997224
225,logistics,16.718752784205748
226,professionals,16.66944541394622
227,understand,16.62508442370445
228,generate,16.556658594118616
229,job,16.540468864914697
230,manufacturing,16.526244454170413
231,cancer,16.512304500750783
232,testing,16.50691197811309
233,powerful,16.39755943560748
234,accounts,16.36752810499903
235,coding,16.32865992884845
236,workflow,16.326462226225846
237,turn,16.282621460463613
238,order,16.244380851173755
239,friends,16.24090627752377
240,ready,16.183460421090924
241,videos,16.091209886708008
242,enterprises,16.08181797666011
243,value,16.001087530349928
244,questions,15.975969661698198
245,investment,15.880352606037118
246,analysis,15.834187227950482
247,great,15.829764362305966
248,crm,15.79463173044039
249,layer,15.786579077587515
250,monitoring,15.69801409304565
251,multiple,15.68090149390303
252,science,15.662632835361013
253,long,15.627576493702835
254,commercial,15.580528642161449
255,computer,15.54307680850822
256,yc,15.526141257382132
257,gives,15.479584867083398
258,secure,15.468538537300802
259,media,15.442907209340694
260,affordable,15.41054889292852
261,markets,15.351950736894011
262,increase,15.305255157056383
263,unique,15.299894039897978
264,internal,15.253938394080354
265,clients,15.25269463039745
266,available,15.230386403448174
267,accessible,15.099946652230535
268,stores,15.070871852461574
269,documents,15.054450163406086
270,focused,15.020618134209183
271,launch,15.001868435634053
272,game,14.989757567818053
273,reliable,14.94628273487437
274,device,14.922273191145946
275,organizations,14.905040583194259
276,needs,14.84777409193997
277,months,14.79133762346316
278,hiring,14.778168122993467
279,30,14.769057808781671
280,supply,14.737293111931635
281,text,14.644853248111936
282,developing,14.588208884211864
283,employee,14.587657976930467
284,lab,14.57597045199168
285,remote,14.563732085567342
286,payroll,14.556525095334523
287,legal,14.54254827033183
288,10x,14.532169330771723
289,tracking,14.5155737609498
290,quickly,14.484464478891482
291,agentic,14.48363835924567
292,high quality,14.469505936870057
293,firms,14.447316492454917
294,project,14.404985075058123
295,handle,14.350282248288096
296,month,14.331395255265468
297,events,14.318188521370669
298,daily,14.231155670875793
299,level,14.22805049237722
300,partners,14.176804937134953
301,integrations,14.157688739019145
302,context,14.15367465852242
303,projects,14.137424895025648
304,accounting,14.12840747820292
305,non,14.128253147176185
306,internet,14.088743536842786
307,multi,14.051350199622817
308,play,14.012586668781921
309,integrated,14.01095910453776
310,ll,13.960815551894898
311,don,13.95083279737208
312,tax,13.950680586200932
313,know,13.895155594557322
314,robots,13.886714229144898
315,alternative,13.804918677476202
316,launched,13.769291635153746
317,drug,13.703990853811739
318,chain,13.652178650894122
319,government,13.6460889608425
320,physical,13.638115073734857
321,education,13.607663721474006
322,critical,13.58896892936409
323,cash,13.556056411297453
324,retail,13.52792797079815
325,inventory,13.516517009768688
326,retailers,13.458924138780928
327,hundreds,13.456273241637653
328,bring,13.450356321306481
329,fastest,13.443588242228696
330,instant,13.424473690290137
331,trusted,13.387504814439879
332,talent,13.377454471239158
333,drive,13.365123216562406
334,brand,13.33282253523046
335,feedback,13.32535206022185
336,crypto,13.322520015974353
337,allowing,13.312855643551122
338,machine learning,13.295192227143268
339,50,13.263321259539646
340,results,13.249476011030882
341,managers,13.235330375287381
342,efficient,13.220582928680813
343,slack,13.193610854101102
344,discover,13.168607617447737
345,technical,13.148398409666946
346,communication,13.145733359078962
347,class,13.132474243915858
348,devices,13.112413003510811
349,processing,13.102583746317102
350,core,13.084269170112043
351,speed,13.074676756520294
352,features,13.055615302508741
353,advanced,13.04790828756618
354,price,13.042770286566727
355,problem,13.008983185974541
356,san,13.006855767332128
357,proprietary,12.99819791286046
358,llm,12.984269290751097
359,professional,12.926045131957101
360,hire,12.920581797768493
361,robotics,12.911616975195422
362,believe,12.90148445575349
363,group,12.854441599290379
364,assistant,12.849198688222575
365,collect,12.754301797965294
366,engagement,12.733358151481035
367,disease,12.673407664203234
368,problems,12.67232032696348
369,started,12.63434353772379
370,billing,12.632156560476064
371,messaging,12.616477379964493
372,site,12.60401198745452
373,public,12.600340308591674
374,20,12.575525232131586
375,program,12.562464397381266
376,love,12.558205076119235
377,environments,12.551614532931152
378,managing,12.540697483537844
379,contractors,12.499867551327528
380,trade,12.482007784450122
381,francisco,12.459595953532366
382,san francisco,12.459595953532366
383,document,12.453433008902712
384,easier,12.447964355493044
385,music,12.411849676725348
386,property,12.385733961602032
387,effective,12.38166643894623
388,complete,12.366976098055595
389,allow,12.364391011585303
390,owners,12.343473164894197
391,able,12.31183087407337
392,lead,12.256990627756512
393,discovery,12.255097989360925
394,benefits,12.242433554616388
395,latin,12.231104356884638
396,shop,12.217891034795986
397,impact,12.209087887403273
398,interactive,12.206804337808153
399,intelligent,12.193399203551532
400,optimize,12.1894597675764
401,engineer,12.178007779219653
402,treatment,12.144355691551182
403,travel,12.120246017173713
404,different,12.118440466440385
405,collaboration,12.11776922495704
406,ml,12.100501539959852
407,book,12.092263103144328
408,planning,12.067022158628243
409,running,12.060679765122234
410,500,12.052275958744158
411,let,12.031040512111952
412,orders,12.027214944486834
413,connects,12.013237633383742
414,operational,12.009455984078393
415,ship,12.004693176134193
416,change,11.99031074068008
417,possible,11.982177887567802
418,cards,11.952634493771523
419,women,11.945961145112381
420,industries,11.916725018824422
421,billion,11.908915023175254
422,corporate,11.895667572130963
423,early,11.892910252294444
424,deep,11.867159074278733
425,review,11.862420926535412
426,websites,11.858480510838493
427,giving,11.85726884306006
428,banks,11.848865469850738
429,paid,11.84124789408242
430,ecommerce,11.790288066751307
431,jobs,11.77309872258702
432,efficiency,11.752139721418418
433,database,11.744680025799811
434,emails,11.74256147022781
435,doing,11.736831172131428
436,include,11.73475033837406
437,pricing,11.709040093225696
438,leads,11.701285916589816
439,tests,11.698488964017393
440,individuals,11.67698571596756
441,check,11.661507781218877
442,integrate,11.656438082399678
443,person,11.615864839950406
444,subscription,11.614468622956442
445,click,11.614341121909266
446,visual,11.613886712396528
447,plan,11.594101212002748
448,school,11.592201626974571
449,workforce,11.578437788710541
450,capture,11.567775651417652
451,takes,11.519164764245108
452,event,11.484391625600368
453,latin america,11.482475316942132
454,issues,11.47205914159161
455,easiest,11.45438360813379
456,writing,11.433748851219086
457,reach,11.423135180240902
458,weeks,11.38693101890537
459,consumers,11.36217731630018
460,integration,11.36077276203274
461,auto,11.347524008585609
462,car,11.346572095711606
463,changes,11.341861836293338
464,serve,11.329188071370623
465,accelerate,11.323478433809958
466,carbon,11.309623763052954
467,countries,11.309519607325385
468,offering,11.305552410435627
469,github,11.263684222541613
470,record,11.238401993471252
471,natural,11.224742913153582
472,state,11.222825164826585
473,skills,11.221298206972419
474,scheduling,11.205232204833123
475,llms,11.190696703131465
476,goal,11.082968540951402
477,zero,11.07605880642295
478,things,11.051852632405485
479,creative,11.036211567817114
480,documentation,11.029871227918532
481,communities,11.009632275222433
482,seconds,11.001753148008216
483,industrial,10.998585767905492
484,programs,10.984985926371236
485,deal,10.975994216342901
486,develop,10.970350793608576
487,stop,10.968052730847113
488,drugs,10.961946112223277
489,analyze,10.918612982187215
490,line,10.915311755544597
491,solve,10.882205115107583
492,conversations,10.871484535736267
493,leaders,10.810873133540419
494,restaurant,10.802319873223585
495,merchants,10.797806592009033
496,pre,10.786766612764668
497,innovative,10.770230689116403
498,receive,10.741142822414506
499,turns,10.737969620211345
500,onboarding,10.733977388286574
